,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,bronnoysund,65.4625,12.1997,37.4,70,20,12.66,NO,1619378570
351,envira,-7.3,-70.2167,83.61,71,52,2.46,BR,1619378570
352,coihueco,-36.6167,-71.8333,69.8,43,0,11.5,CL,1619378571
353,fukue,32.6881,128.8419,59.27,61,100,29.77,JP,1619378571
354,goderich,43.7501,-81.7165,37.4,70,100,21.85,CA,1619378572
355,lodwar,3.1191,35.5973,86.58,46,100,11.97,KE,1619378572
356,evensk,61.95,159.2333,21.9,95,100,6.22,RU,1619378319
357,gillette,44.2911,-105.5022,61.0,47,1,3.44,US,1619378573
358,santa fe,-31.6333,-60.7,71.01,44,0,5.99,AR,1619378573
359,turayf,31.6725,38.6637,80.6,26,0,9.22,SA,1619378574
360,cortez,37.3489,-108.5859,71.6,13,1,14.97,US,1619378574
361,sao gabriel da cachoeira,-0.1303,-67.0892,86.0,79,40,4.61,BR,1619378574
362,mae sai,20.4335,99.8762,71.6,100,40,14.97,TH,1619378575
363,selma,36.5708,-119.6121,64.0,48,90,3.18,US,1619378575
364,gimli,50.6336,-96.9907,39.2,56,100,14.97,CA,1619378576
365,gweta,-20.1833,25.2333,73.69,21,1,7.14,BW,1619378576
